equity,,equity,date,
1186289.7000000007,,1186289.7,10-08-2023,00:00:00+05:30
1182324.2300000007,,1182324.23,11-08-2023,00:00:00+05:30
1179803.4200000009,,1179803.42,14-08-2023,00:00:00+05:30
1187792.9200000009,,1187792.92,16-08-2023,00:00:00+05:30
1190124.2200000007,,1190124.22,17-08-2023,00:00:00+05:30
1189893.0200000007,,1189893.02,18-08-2023,00:00:00+05:30
1196364.6200000008,,1196364.62,21-08-2023,00:00:00+05:30
1198978.9200000009,,1198978.92,22-08-2023,00:00:00+05:30
1198519.6700000009,,1198519.67,23-08-2023,00:00:00+05:30
1203308.8700000008,,1203308.87,24-08-2023,00:00:00+05:30
1202496.3200000008,,1202496.32,25-08-2023,00:00:00+05:30
1206262.4200000009,,1206262.42,28-08-2023,00:00:00+05:30
1202149.8700000008,,1202149.87,29-08-2023,00:00:00+05:30
1197874.5700000008,,1197874.57,30-08-2023,00:00:00+05:30
1197476.6200000008,,1197476.62,31-08-2023,00:00:00+05:30
1200275.020000001,,1200275.02,01-09-2023,00:00:00+05:30
1203612.3700000008,,1203612.37,04-09-2023,00:00:00+05:30
1201285.1200000008,,1201285.12,05-09-2023,00:00:00+05:30
1217746.3700000008,,1217746.37,06-09-2023,00:00:00+05:30
1216665.1700000009,,1216665.17,07-09-2023,00:00:00+05:30
1213065.8700000008,,1213065.87,08-09-2023,00:00:00+05:30
1206591.5200000005,,1206591.52,11-09-2023,00:00:00+05:30
1181674.8500000006,,1181674.85,12-09-2023,00:00:00+05:30
1186846.2700000007,,1186846.27,13-09-2023,00:00:00+05:30
1190464.4500000007,,1190464.45,14-09-2023,00:00:00+05:30
1193209.4500000007,,1193209.45,15-09-2023,00:00:00+05:30
1190784.4500000007,,1190784.45,18-09-2023,00:00:00+05:30
1183168.3000000007,,1183168.3,20-09-2023,00:00:00+05:30
1178176.5000000005,,1178176.5,21-09-2023,00:00:00+05:30
1174623.5000000005,,1174623.5,22-09-2023,00:00:00+05:30
1179854.2000000007,,1179854.2,25-09-2023,00:00:00+05:30
1179752.8500000006,,1179752.85,26-09-2023,00:00:00+05:30
1182466.0000000005,,1182466,27-09-2023,00:00:00+05:30
1179513.3000000005,,1179513.3,28-09-2023,00:00:00+05:30
1177548.9000000006,,1177548.9,29-09-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,03-10-2023,00:00:00+05:30
1174776.1500000006,,1174776.15,04-10-2023,00:00:00+05:30
