date,symbol,rs_score,reason
2024-05-28 00:00:00+05:30,VINATIORGA,0.02,max positions (RS gap too small)
2024-05-29 00:00:00+05:30,VINATIORGA,0.04,max positions (RS gap too small)
2024-05-30 00:00:00+05:30,VINATIORGA,0.05,max positions (RS gap too small)
2024-05-31 00:00:00+05:30,VINATIORGA,0.03,max positions (RS gap too small)
2024-06-03 00:00:00+05:30,SUNDRMFAST,0.1,max positions (RS gap too small)
2024-06-24 00:00:00+05:30,UFLEX,0.1,max positions (RS gap too small)
2024-06-24 00:00:00+05:30,GHCL,0.05,max positions (RS gap too small)
2024-06-24 00:00:00+05:30,ICRA,0.04,max positions (RS gap too small)
2024-06-24 00:00:00+05:30,KAJARIACER,0.04,max positions (RS gap too small)
2024-06-24 00:00:00+05:30,RENUKA,0.03,max positions (RS gap too small)
2024-06-24 00:00:00+05:30,CANFINHOME,0.02,max positions (RS gap too small)
2024-06-24 00:00:00+05:30,VENKEYS,0,max positions (RS gap too small)
2024-06-25 00:00:00+05:30,KAJARIACER,0.09,max positions (RS gap too small)
2024-06-25 00:00:00+05:30,UFLEX,0.08,max positions (RS gap too small)
2024-06-25 00:00:00+05:30,RENUKA,0.05,max positions (RS gap too small)
2024-06-25 00:00:00+05:30,CANFINHOME,0.04,max positions (RS gap too small)
2024-06-25 00:00:00+05:30,ICRA,0.02,max positions (RS gap too small)
2024-06-26 00:00:00+05:30,KAJARIACER,0.08,max positions (RS gap too small)
2024-06-26 00:00:00+05:30,UFLEX,0.08,max positions (RS gap too small)
2024-06-26 00:00:00+05:30,CANFINHOME,0.07,max positions (RS gap too small)
2024-06-26 00:00:00+05:30,RENUKA,0.04,max positions (RS gap too small)
2024-06-26 00:00:00+05:30,GHCL,0.03,max positions (RS gap too small)
2024-06-26 00:00:00+05:30,ICRA,-0.01,max positions (RS gap too small)
2024-06-27 00:00:00+05:30,CANFINHOME,0.07,max positions (RS gap too small)
2024-06-27 00:00:00+05:30,RENUKA,0.03,max positions (RS gap too small)
2024-06-27 00:00:00+05:30,ICRA,-0.03,max positions (RS gap too small)
2024-06-28 00:00:00+05:30,CANFINHOME,0.09,max positions (RS gap too small)
2024-06-28 00:00:00+05:30,RENUKA,0.04,max positions (RS gap too small)
2024-06-28 00:00:00+05:30,GHCL,0.01,max positions (RS gap too small)
2024-06-28 00:00:00+05:30,ICRA,-0.03,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,BBTC,0.25,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,INDIACEM,0.16,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,OMAXE,0.11,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,CENTURYPLY,0.06,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,APOLLOTYRE,0.04,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,CAPLIPOINT,-0.02,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,RUPA,-0.03,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,JKCEMENT,-0.03,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,FSL,-0.04,max positions (RS gap too small)
2024-07-01 00:00:00+05:30,GNFC,-0.04,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,OMAXE,0.22,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,INDIACEM,0.16,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,FSL,0.04,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,CENTURYPLY,0.03,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,APOLLOTYRE,0.02,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,CAPLIPOINT,-0.01,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,RUPA,-0.03,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,GNFC,-0.06,max positions (RS gap too small)
2024-07-02 00:00:00+05:30,JKCEMENT,-0.07,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,OMAXE,0.27,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,INDIACEM,0.2,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,CENTURYPLY,0.01,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,FSL,0.01,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,APOLLOTYRE,0,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,RUPA,-0.02,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,CAPLIPOINT,-0.04,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,GNFC,-0.05,max positions (RS gap too small)
2024-07-03 00:00:00+05:30,JKCEMENT,-0.05,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,INDIACEM,0.17,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,OMAXE,0.14,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,FSL,0.03,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,CENTURYPLY,0.02,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,BATAINDIA,0.01,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,APOLLOTYRE,-0.02,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,CAPLIPOINT,-0.04,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,GNFC,-0.06,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,RUPA,-0.07,max positions (RS gap too small)
2024-07-04 00:00:00+05:30,JKCEMENT,-0.07,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,OMAXE,0.15,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,INDIACEM,0.14,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,FSL,0.06,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,CENTURYPLY,0.05,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,BATAINDIA,0,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,CAPLIPOINT,-0.02,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,APOLLOTYRE,-0.03,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,RUPA,-0.06,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,JKCEMENT,-0.1,max positions (RS gap too small)
2024-07-05 00:00:00+05:30,GNFC,-0.1,max positions (RS gap too small)
2024-07-08 00:00:00+05:30,NIACL,0.11,max positions (RS gap too small)
2024-07-08 00:00:00+05:30,BAJAJHLDNG,0.11,max positions (RS gap too small)
